State,SoilType,pH,N,K,P
ANDAMAN And NICOBAR ISLANDS,lateritic,5,68,58,38
ARUNACHAL PRADESH,alluvial,6,91,53,40
ASSAM,alluvial,6,91,53,40
MEGHALAYA,red,7,66,53,41
MANIPUR,alluvial,6,91,53,40
MIZORAM,lateritic,5,68,58,38
NAGALAND,red,7,66,53,41
TRIPURA,alluvial,6,91,53,40
WEST BENGAL,alluvial,6,91,53,40
SIKKIM,alpine,7,59,49,44
ORISSA,lateritic,5,68,58,38
JHARKHAND,lateritic,5,68,58,38
BIHAR,alluvial,6,91,53,40
UTTAR PRADESH,alluvial,6,91,53,40
UTTARANCHAL,alpine,7,59,49,44
HARYANA,alluvial,6,91,53,40
CHANDIGARH,alluvial,6,91,53,40
DELHI,alluvial,6,91,53,40
PUNJAB,alluvial,6,91,53,40
HIMACHAL,alpine,7,59,49,44
JAMMU AND KASHMIR,alluvial,6,91,53,40
RAJASTHAN,desert,8,90,44,49
MADHYA PRADESH,black,7,89,43,44
GUJARAT,alluvial,6,91,53,40
DADAR NAGAR HAVELI,lateritic,5,68,58,38
DAMAN AND DUI,lateritic,5,68,58,38
MAHARASHTRA,black,7,89,43,44
CHATISGARH,red,7,66,53,41
ANDHRA PRADESH,red,7,66,53,41
TAMIL NADU,black,7,89,43,44
PONDICHERRY,costal sands,7,90,44,49
KARNATAKA,red,7,66,53,41
KERALA,lateritic,5,68,58,38
